crop_type,season,temperature,humidity,rainfall,soil_moisture,soil_ph,light_intensity,disease_label
Potato,summer,23.56,77.84,0.0,62.95,5.5,41179,Healthy
Potato,summer,26.26,70.94,4.37,68.74,6.11,11643,Healthy
Tomato,summer,34.91,70.34,0.0,38.51,6.24,24,Healthy
Potato,summer,29.98,58.63,0.0,34.7,6.67,59,Common Scab
Tomato,summer,29.53,59.19,0.0,51.34,7.0,42821,Healthy
Potato,summer,31.0,62.8,0.0,26.42,5.54,22,Verticillium Wilt
Potato,summer,30.27,56.75,0.0,45.11,5.57,44,Healthy
Potato,summer,28.22,70.9,0.0,50.02,5.5,665,Healthy
Tomato,summer,34.85,61.02,0.0,52.28,7.02,18860,Healthy
Tomato,summer,30.89,71.17,0.0,38.06,6.5,28786,Healthy
Tomato,summer,30.23,76.08,0.0,50.27,6.23,39,Healthy
Tomato,summer,34.8,63.93,0.0,46.93,6.09,93,Healthy
Tomato,summer,29.82,69.29,0.0,32.76,6.82,66,Fusarium Wilt
Tomato,summer,26.26,88.99,0.0,49.65,6.73,24,Healthy
Tomato,summer,32.43,72.63,0.0,17.5,6.36,28123,Fusarium Wilt
Tomato,summer,32.22,65.91,5.07,41.87,6.42,51,Healthy
Potato,summer,28.72,77.57,0.0,59.63,5.82,43187,Healthy
Potato,summer,29.46,78.93,0.0,46.87,5.5,17549,Healthy
Tomato,summer,31.85,74.34,0.0,55.22,6.62,23788,Healthy
Tomato,summer,26.37,74.49,2.84,60.98,6.45,35726,Early Blight
Potato,summer,34.11,72.65,0.0,17.0,5.5,36036,Verticillium Wilt
Tomato,summer,32.05,69.56,24.83,70.18,6.62,59,Healthy
Tomato,summer,31.64,75.08,0.0,41.83,6.78,1,Healthy
Tomato,summer,32.96,69.83,0.0,52.4,6.53,34,Healthy
Potato,summer,32.28,66.92,4.6,36.51,6.26,48,Healthy
Potato,summer,33.43,72.35,0.0,32.18,5.72,90,Verticillium Wilt
Potato,summer,33.64,68.37,0.0,18.98,5.5,18,Verticillium Wilt
Tomato,summer,31.79,78.82,0.0,46.57,6.17,12,Healthy
Tomato,summer,32.05,61.1,0.0,19.58,6.31,53,Fusarium Wilt
Potato,summer,31.62,81.13,10.05,56.15,5.51,0,Healthy
Potato,summer,28.41,72.25,0.0,42.18,6.12,74,Healthy
Tomato,summer,33.93,82.15,0.0,41.69,6.39,19,Healthy
Potato,summer,31.79,80.67,0.0,51.03,5.69,36681,Healthy
Tomato,summer,30.6,69.12,9.72,54.1,6.61,70,Healthy
Tomato,summer,32.63,63.4,0.0,31.26,6.82,87,Fusarium Wilt
Tomato,summer,34.93,68.21,0.0,35.04,6.99,10,Healthy
Tomato,summer,29.82,59.45,0.0,42.78,6.77,0,Healthy
Potato,summer,31.29,71.84,0.0,62.48,6.21,35271,Healthy
Potato,summer,28.65,78.46,0.0,38.56,6.25,47,Healthy
Potato,summer,29.82,60.97,2.1,43.72,6.78,17,Healthy
Potato,summer,34.14,62.66,0.0,46.5,5.5,46,Healthy
Potato,summer,31.68,65.65,10.19,53.33,5.75,30627,Healthy
Tomato,summer,31.35,67.42,25.9,57.87,6.02,27,Healthy
Tomato,summer,31.91,62.83,25.06,43.61,6.51,66,Healthy
Potato,summer,30.25,67.12,30.35,56.81,5.5,98,Healthy
Potato,summer,32.9,64.03,0.0,56.04,5.5,7,Healthy
Tomato,summer,30.01,77.83,0.0,47.41,6.37,58,Healthy
Tomato,summer,32.43,65.16,3.62,34.76,5.65,22716,Anthracnose
Tomato,summer,31.87,71.95,0.0,60.36,6.8,38450,Healthy
Potato,summer,34.13,73.45,0.0,44.57,5.5,32094,Healthy
Potato,summer,29.85,56.73,0.0,31.46,5.78,18,Verticillium Wilt
Tomato,summer,30.48,55.29,0.0,49.85,6.81,73,Healthy
Tomato,summer,32.25,57.19,0.0,51.69,7.0,56,Healthy
Potato,summer,27.48,81.44,0.0,43.53,6.11,33,Healthy
Potato,summer,27.27,51.04,0.0,51.27,5.5,20,Healthy
Potato,summer,33.7,69.45,0.0,34.75,5.5,80,Verticillium Wilt
Tomato,summer,32.93,64.28,0.0,27.35,6.83,23196,Fusarium Wilt
Potato,summer,32.43,74.27,0.0,52.73,5.6,36311,Healthy
Tomato,summer,33.2,72.7,0.0,31.49,6.49,19305,Fusarium Wilt
Tomato,summer,32.91,68.64,15.23,55.34,6.52,40,Healthy
Potato,summer,26.09,81.32,9.57,63.38,5.5,6444,Healthy
Potato,summer,30.07,79.45,0.0,37.76,5.99,34803,Healthy
Tomato,summer,32.16,78.48,0.0,36.33,6.04,4,Healthy
Tomato,summer,33.9,58.38,4.01,43.58,6.13,22208,Healthy
Potato,summer,30.33,62.26,0.0,48.48,5.87,17089,Healthy
Potato,summer,32.97,63.83,0.0,26.21,5.5,31939,Verticillium Wilt
Potato,summer,34.61,68.43,16.86,50.4,6.03,0,Healthy
Tomato,summer,37.44,78.06,0.0,32.55,6.45,72,Fusarium Wilt
Tomato,summer,33.58,81.03,0.0,24.09,6.64,92,Fusarium Wilt
Tomato,summer,31.7,69.46,21.51,63.7,6.34,86,Healthy
Potato,summer,31.23,65.44,0.0,58.0,6.45,17045,Healthy
Potato,summer,34.64,53.21,26.71,45.21,5.5,6714,Healthy
Potato,summer,33.67,68.44,12.48,45.86,5.86,32715,Healthy
Tomato,summer,30.62,62.44,0.0,35.72,6.91,18961,Healthy
Potato,summer,30.54,66.86,0.0,49.11,6.39,93,Healthy
Tomato,summer,30.69,68.11,0.0,48.55,7.27,30198,Healthy
Tomato,summer,29.43,65.23,0.6,65.74,6.6,1391,Healthy
Potato,summer,30.4,80.85,7.39,46.56,5.81,91,Healthy
Tomato,summer,26.52,65.81,0.0,62.5,6.16,13,Healthy
Potato,summer,31.33,55.49,4.73,39.8,5.63,11,Healthy
Potato,summer,26.66,72.51,0.0,35.83,5.99,24,Healthy
Potato,summer,35.19,62.94,0.0,33.8,5.68,7,Verticillium Wilt
Tomato,summer,30.21,69.24,7.7,61.69,6.87,3756,Healthy
Tomato,summer,30.88,68.51,0.0,30.4,6.17,69,Fusarium Wilt
Tomato,summer,32.25,60.54,0.0,47.84,6.33,49,Healthy
Potato,summer,28.25,79.27,1.95,42.42,6.59,36386,Healthy
Potato,summer,32.33,60.65,0.0,20.45,5.82,29340,Verticillium Wilt
Potato,summer,28.88,66.36,0.76,36.38,6.12,83,Healthy
Potato,summer,24.89,73.75,0.0,60.12,5.5,11594,Healthy
Potato,summer,32.97,74.1,0.0,47.61,6.25,35,Healthy
Tomato,summer,27.96,75.4,0.0,43.86,6.0,42528,Healthy
Tomato,summer,33.75,71.6,0.0,41.31,6.61,22203,Healthy
Potato,summer,26.91,62.84,0.0,33.6,5.55,10,Verticillium Wilt
Potato,summer,27.41,55.81,0.0,49.87,6.25,29391,Healthy
Potato,summer,29.87,64.77,9.88,52.7,5.5,4549,Healthy
Potato,summer,32.87,79.8,0.0,37.38,5.6,9473,Healthy
Tomato,summer,29.79,63.49,0.0,45.06,6.74,19,Healthy
Tomato,summer,32.64,70.96,0.0,42.52,6.62,19,Healthy
Tomato,summer,33.62,68.41,4.22,46.79,6.5,88,Healthy
Potato,summer,34.75,76.65,0.0,37.35,6.18,15,Healthy
Potato,summer,36.15,73.74,2.49,48.7,5.5,67,Early Blight
Tomato,summer,27.96,66.63,0.0,55.24,5.63,39382,Healthy
Potato,summer,28.63,77.39,5.47,49.31,6.23,27,Healthy
Potato,summer,31.52,77.28,11.07,33.54,5.86,14,Early Blight
Tomato,summer,29.78,65.49,21.23,51.04,6.31,3005,Healthy
Tomato,summer,28.66,82.02,0.0,53.55,6.56,86,Healthy
Tomato,summer,36.32,64.09,0.0,19.02,6.37,27195,Fusarium Wilt
Tomato,summer,35.91,76.83,0.0,30.02,6.48,99,Fusarium Wilt
Potato,summer,31.62,66.26,0.0,24.69,6.14,37006,Verticillium Wilt
Potato,summer,34.33,68.17,0.0,38.63,5.57,22470,Healthy
Tomato,summer,30.36,61.14,0.0,47.22,6.5,19338,Healthy
Tomato,summer,32.44,66.29,28.0,58.83,5.74,27609,Healthy
Potato,summer,29.26,59.98,0.0,47.7,5.7,38710,Healthy
Potato,summer,26.89,65.84,0.0,54.15,5.96,0,Healthy
Tomato,summer,32.46,71.51,0.0,37.63,6.0,31,Healthy
Tomato,summer,27.29,76.28,0.0,43.2,6.59,23034,Healthy
Potato,summer,29.36,72.36,0.0,43.25,5.87,0,Healthy
Tomato,summer,34.93,71.33,0.0,33.13,6.42,6,Fusarium Wilt
Potato,summer,30.44,54.0,0.0,49.8,6.38,79,Healthy
Tomato,summer,25.46,72.27,0.0,52.85,6.86,79,Healthy
Potato,summer,30.28,73.59,0.0,38.71,5.8,79,Healthy
Tomato,summer,33.24,66.67,0.0,38.81,6.7,10,Healthy
Potato,summer,30.94,77.46,0.0,44.26,5.53,40,Healthy
Potato,summer,30.37,74.87,0.0,51.97,6.04,37445,Healthy
Potato,summer,27.94,60.28,0.0,40.01,5.69,61,Healthy
Tomato,summer,32.31,72.02,0.0,39.23,6.35,17155,Healthy
Potato,summer,34.27,74.67,2.75,41.21,5.5,23,Healthy
Potato,summer,33.56,70.35,0.0,40.35,5.98,20,Healthy
Potato,summer,29.56,83.97,0.0,48.14,5.58,87,Healthy
Potato,summer,33.22,59.52,0.0,47.68,5.84,75,Healthy
Potato,summer,26.5,69.06,0.0,40.71,6.32,24666,Healthy
Tomato,summer,32.39,56.56,0.0,44.85,6.72,8657,Healthy
Tomato,summer,35.79,64.94,0.0,30.87,6.63,22,Fusarium Wilt
Potato,summer,32.02,73.74,0.0,23.7,5.76,32679,Verticillium Wilt
Tomato,summer,33.34,77.11,0.0,42.22,6.58,24494,Healthy
Tomato,summer,33.54,64.89,0.0,40.77,7.09,71,Healthy
Tomato,summer,28.77,67.97,0.0,33.58,6.41,70,Fusarium Wilt
Tomato,summer,26.63,73.23,0.0,57.33,6.78,23510,Healthy
Potato,summer,37.35,65.34,0.0,45.77,5.76,52,Common Scab
Tomato,summer,30.95,68.57,0.0,50.51,7.0,23,Healthy
Tomato,summer,30.99,65.3,34.82,65.06,6.45,38,Healthy
Potato,winter,20.25,52.46,0.0,66.76,5.97,24110,Healthy
Potato,winter,22.63,59.67,0.0,57.46,5.77,87,Healthy
Potato,winter,25.78,70.47,0.0,30.42,5.5,31517,Verticillium Wilt
Tomato,winter,25.38,61.31,0.0,58.11,6.61,3605,Healthy
Tomato,winter,24.72,63.79,0.0,56.41,6.43,0,Healthy
Potato,winter,24.16,70.19,0.0,56.33,5.5,34,Healthy
Potato,winter,18.44,68.42,0.0,61.65,5.5,48,Healthy
Tomato,winter,24.37,77.75,0.0,55.23,6.78,35523,Healthy
Potato,winter,22.75,58.32,0.0,49.76,6.0,40224,Healthy
Potato,winter,22.26,50.41,0.0,57.73,6.35,45941,Healthy
Tomato,winter,19.77,62.82,0.0,50.48,6.58,39595,Healthy
Tomato,winter,22.59,59.58,0.0,48.26,6.46,12013,Verticillium Wilt
Potato,winter,19.17,53.57,5.19,58.6,5.5,7,Healthy
Potato,winter,19.41,61.95,0.0,67.37,5.5,40,Healthy
Tomato,winter,22.99,60.13,0.0,52.16,6.0,5545,Verticillium Wilt
Potato,winter,23.6,73.18,0.0,36.46,5.5,35,Healthy
Tomato,winter,23.16,65.59,0.0,46.59,5.98,98,Verticillium Wilt
Potato,winter,21.85,57.78,0.0,59.65,5.84,9036,Healthy
Potato,winter,21.72,62.29,0.0,58.0,5.72,7,Healthy
Tomato,winter,21.11,62.21,0.0,55.51,6.16,30,Verticillium Wilt
Potato,winter,24.16,54.43,0.0,32.42,5.94,17148,Verticillium Wilt
Tomato,winter,22.22,70.11,5.38,64.49,6.12,25984,Early Blight
Tomato,winter,23.35,71.0,0.0,63.18,6.68,22525,Healthy
Tomato,winter,16.2,68.51,0.0,66.59,6.17,67,Healthy
Potato,winter,22.79,53.75,0.0,70.64,6.08,70,Healthy
Tomato,winter,23.45,66.93,0.0,60.48,6.48,37721,Healthy
Potato,winter,22.77,69.67,0.0,59.49,6.51,41922,Healthy
Potato,winter,23.24,70.82,0.0,32.86,5.82,9489,Verticillium Wilt
Potato,winter,19.61,57.98,3.93,60.61,5.89,36,Healthy
Potato,winter,21.75,71.36,17.96,93.15,5.95,25161,Early Blight
Tomato,winter,18.41,59.03,0.0,58.95,6.4,4486,Healthy
Tomato,winter,24.35,61.03,2.63,49.72,6.99,0,Healthy
Potato,winter,21.25,52.28,0.0,49.22,6.47,52,Healthy
Potato,winter,21.1,74.33,0.0,74.18,6.0,10066,Healthy
Potato,winter,25.3,57.01,0.0,51.94,5.6,29605,Healthy
Tomato,winter,23.58,52.8,0.0,68.32,6.67,22200,Healthy
Tomato,winter,25.67,63.04,0.0,45.14,5.75,38353,Healthy
Potato,winter,22.68,61.66,0.0,54.33,5.57,0,Healthy
Potato,winter,19.18,55.83,0.0,60.18,5.5,75,Healthy
Tomato,winter,22.33,56.38,0.0,50.24,6.46,3064,Verticillium Wilt
Tomato,winter,21.62,64.65,0.0,46.71,5.94,36462,Verticillium Wilt
Potato,winter,18.5,50.14,0.0,76.47,5.74,11554,Healthy
Potato,winter,23.02,53.81,0.0,41.63,5.5,35238,Healthy
Potato,winter,22.15,73.72,0.0,39.89,5.5,2193,Healthy
Tomato,winter,21.61,63.99,0.0,49.45,6.35,6,Verticillium Wilt
Potato,winter,20.87,60.25,0.0,53.04,6.94,31,Healthy
Tomato,winter,22.48,54.73,16.0,75.76,6.77,0,Healthy
Tomato,winter,22.04,60.96,0.0,47.15,5.79,29082,Verticillium Wilt
Tomato,winter,19.97,63.71,0.0,57.47,6.05,6033,Healthy
Tomato,winter,21.0,51.33,0.0,68.92,5.99,71,Healthy
Potato,winter,23.8,62.19,0.0,62.38,5.86,45,Healthy
Potato,winter,25.38,51.53,0.0,52.49,5.71,62,Healthy
Tomato,winter,23.1,64.93,0.0,69.65,6.58,0,Healthy
Potato,winter,24.47,62.81,0.0,58.88,5.5,23040,Healthy
Potato,winter,20.04,55.51,0.0,64.07,5.57,45584,Healthy
Potato,winter,22.78,55.24,0.0,65.12,6.34,32819,Healthy
Potato,winter,19.81,60.72,0.0,83.86,6.23,1093,Healthy
Tomato,winter,17.72,54.69,2.33,64.7,6.67,42,Healthy
Potato,winter,21.79,42.0,0.0,43.03,5.5,26,Verticillium Wilt
Tomato,winter,24.66,50.27,0.0,52.87,6.04,23830,Healthy
Tomato,winter,20.91,64.18,5.92,77.51,6.69,34318,Healthy
Potato,winter,24.19,61.24,0.0,48.0,5.5,16581,Healthy
Potato,winter,22.85,65.18,0.0,73.6,5.86,22553,Healthy
Tomato,winter,23.93,52.75,0.0,50.37,6.37,20,Verticillium Wilt
Potato,winter,21.15,61.18,0.0,24.37,6.12,95,Verticillium Wilt
Potato,winter,24.72,70.59,0.0,58.77,5.5,4779,Healthy
Potato,winter,22.0,58.82,0.0,46.26,6.17,24057,Healthy
Potato,winter,23.22,59.62,0.0,46.94,5.81,53,Healthy
Potato,winter,21.42,61.95,0.0,56.52,5.61,4238,Healthy
Potato,winter,18.69,65.51,0.0,58.43,5.52,8177,Healthy
Potato,winter,22.15,57.93,0.0,48.77,5.5,34628,Healthy
Tomato,winter,21.49,64.63,0.0,62.27,6.67,6525,Healthy
Potato,winter,24.31,63.06,0.0,48.11,5.95,23837,Healthy
Potato,winter,22.65,49.16,0.0,32.5,5.53,15709,Verticillium Wilt
Tomato,winter,20.19,58.51,0.0,58.07,6.52,7566,Verticillium Wilt
Tomato,winter,21.7,56.28,0.0,73.07,6.73,0,Healthy
Potato,winter,25.39,69.56,0.0,40.54,5.5,6,Healthy
Potato,winter,21.66,59.19,0.0,67.56,6.3,85,Healthy
Tomato,winter,23.76,56.89,1.18,45.44,6.58,33402,Verticillium Wilt
Potato,winter,21.39,60.06,0.51,58.85,5.56,20,Healthy
Tomato,winter,23.0,57.41,0.0,61.26,6.01,40538,Healthy
Potato,winter,21.96,59.39,0.0,64.47,5.5,15422,Healthy
Potato,winter,23.2,56.54,0.0,46.23,6.14,95,Healthy
Tomato,winter,23.15,50.64,0.0,62.27,5.96,8,Healthy
Tomato,winter,22.56,59.92,0.0,56.5,7.12,8,Verticillium Wilt
Tomato,winter,23.21,63.92,3.35,42.25,6.76,38,Verticillium Wilt
Tomato,winter,18.83,59.39,0.0,62.36,6.59,72,Healthy
Tomato,winter,22.56,72.26,0.0,56.16,6.23,2264,Verticillium Wilt
Potato,winter,21.91,69.25,0.0,65.76,5.58,2818,Healthy
Potato,winter,21.72,57.76,0.0,57.85,5.81,79,Healthy
Tomato,winter,23.18,63.4,0.0,62.12,6.55,0,Healthy
Potato,winter,16.8,55.2,0.0,56.05,5.68,13681,Healthy
Potato,winter,19.83,73.46,0.0,64.78,6.34,32,Healthy
Potato,winter,18.34,56.47,0.0,60.96,5.5,40905,Healthy
Tomato,winter,21.94,62.32,0.0,58.65,6.58,44,Verticillium Wilt
Tomato,winter,26.59,55.41,0.0,57.28,7.07,21280,Healthy
Tomato,winter,18.13,63.21,0.0,67.0,6.21,9,Healthy
Potato,winter,21.31,59.83,0.0,53.61,6.37,29220,Healthy
Potato,winter,20.21,65.01,0.0,65.02,6.19,62,Healthy
Tomato,winter,19.21,54.05,0.0,63.05,6.48,86,Healthy
Tomato,winter,23.89,53.61,0.0,45.19,5.74,19,Verticillium Wilt
Potato,winter,21.13,64.44,0.0,64.03,5.5,43467,Healthy
Tomato,winter,20.1,55.37,0.0,61.69,6.79,17986,Healthy
Potato,winter,22.52,61.34,0.0,44.13,5.8,83,Healthy
Tomato,winter,19.77,61.29,0.0,56.46,5.61,92,Healthy
Potato,winter,19.96,56.12,0.0,68.39,6.33,42,Healthy
Potato,winter,18.86,67.22,0.0,49.2,5.5,27982,Healthy
Potato,winter,19.98,66.14,0.0,55.08,6.02,26846,Healthy
Potato,winter,26.43,48.59,0.0,41.79,6.5,42,Common Scab
Potato,winter,17.34,60.65,0.0,41.65,6.02,95,Healthy
Tomato,winter,25.5,60.25,0.0,50.69,6.13,91,Healthy
Tomato,winter,15.57,58.53,0.0,55.07,6.99,34,Healthy
Potato,winter,24.22,74.19,0.0,52.63,5.86,6897,Healthy
Potato,winter,22.14,55.74,0.0,35.71,5.5,21007,Healthy
Potato,winter,23.82,57.17,0.0,43.15,5.5,25846,Healthy
Tomato,winter,21.23,66.9,0.0,55.59,6.99,12774,Verticillium Wilt
Potato,winter,24.12,51.65,0.76,60.11,5.5,76,Healthy
Tomato,winter,25.03,64.26,0.0,51.22,7.08,33,Healthy
Potato,winter,24.33,60.82,0.0,66.85,5.93,4,Healthy
Potato,winter,21.93,65.74,0.0,59.11,6.0,21639,Healthy
Tomato,winter,19.23,62.18,0.0,55.17,6.86,27481,Healthy
Tomato,winter,21.51,62.45,0.0,58.03,6.43,31691,Verticillium Wilt
Tomato,winter,21.26,58.09,0.0,50.75,6.09,34191,Verticillium Wilt
Potato,winter,20.44,63.82,0.0,45.53,5.65,22,Healthy
Potato,winter,20.76,77.26,0.0,57.81,6.43,79,Healthy
Tomato,winter,21.74,61.48,0.0,51.99,5.92,99,Verticillium Wilt
Tomato,winter,21.18,65.52,0.0,66.01,5.86,7224,Healthy
Tomato,winter,21.0,61.74,0.0,51.85,6.15,46,Verticillium Wilt
Potato,winter,22.26,75.95,0.0,57.94,6.48,48,Healthy
Potato,winter,20.05,50.04,0.0,49.14,5.93,9,Healthy
Tomato,winter,21.98,56.65,0.0,46.96,6.91,72,Verticillium Wilt
Potato,winter,19.88,60.98,0.0,51.45,5.54,28304,Healthy
Tomato,winter,22.16,61.4,0.0,59.64,6.14,36555,Verticillium Wilt
Tomato,winter,19.26,55.78,0.0,60.58,7.0,13973,Healthy
Potato,winter,22.59,56.17,0.0,35.25,5.63,96,Healthy
Tomato,winter,21.71,64.61,0.0,65.78,6.35,26,Healthy
Tomato,winter,21.7,65.73,0.0,48.52,6.11,96,Verticillium Wilt
Tomato,winter,19.9,64.07,0.0,65.03,7.04,42111,Healthy
Potato,winter,19.74,67.01,11.25,78.17,6.34,40144,Healthy
Tomato,winter,18.51,63.01,0.0,52.37,6.9,40451,Healthy
Tomato,winter,15.93,51.76,0.0,78.15,5.58,89,Healthy
Tomato,winter,20.03,58.64,0.0,58.08,6.88,14,Verticillium Wilt
Potato,winter,19.54,65.14,0.0,64.92,5.71,93,Healthy
Potato,winter,23.99,66.02,0.0,54.67,5.5,47,Healthy
Tomato,winter,24.07,67.95,0.0,53.63,6.43,68,Healthy
Tomato,winter,19.04,66.56,4.31,75.64,6.32,33332,Healthy
Potato,winter,18.07,57.57,0.42,61.75,5.54,34038,Healthy
Tomato,winter,19.6,56.64,6.11,63.7,6.81,19900,Healthy
Tomato,winter,21.57,64.52,0.0,52.82,6.93,73,Verticillium Wilt
Potato,winter,21.83,68.79,0.0,56.31,5.5,13859,Healthy
Tomato,winter,21.95,57.39,0.0,57.0,6.61,42,Verticillium Wilt
Potato,winter,24.13,69.12,0.0,62.38,6.08,3253,Healthy
Potato,winter,21.07,58.7,0.0,49.28,5.99,54,Healthy
Tomato,winter,18.2,65.22,0.0,58.77,5.9,91,Healthy
Potato,winter,23.34,57.89,0.0,49.59,6.15,28450,Healthy
Potato,winter,20.37,54.96,0.0,56.37,5.68,23,Healthy
Potato,winter,21.86,52.16,0.0,47.84,6.21,14238,Healthy
Tomato,winter,19.29,60.98,0.0,63.5,5.95,13,Healthy
Potato,winter,18.14,63.49,0.0,70.91,5.54,89,Healthy
Potato,winter,23.83,66.86,0.0,48.52,5.94,63,Healthy
Potato,winter,18.83,71.0,2.2,66.68,6.33,0,Healthy
Potato,winter,23.39,65.2,0.0,46.67,6.88,83,Healthy
Potato,winter,22.86,57.5,0.0,64.46,5.54,41831,Healthy
Potato,winter,18.47,59.29,0.0,73.9,6.09,98,Healthy
Tomato,winter,23.44,57.75,0.92,66.34,6.5,11766,Healthy
Potato,winter,21.62,55.65,3.43,57.72,5.72,8907,Healthy
Tomato,winter,23.43,65.21,0.0,66.91,6.51,34018,Healthy
Potato,winter,21.46,57.34,0.0,25.11,6.07,24639,Verticillium Wilt
Potato,winter,23.17,65.69,1.32,54.37,6.8,1875,Healthy
Potato,winter,22.62,65.77,0.0,51.73,5.95,24,Healthy
Potato,winter,22.52,63.89,0.0,42.77,6.75,17482,Healthy
Potato,winter,20.49,52.9,0.0,63.11,5.97,23,Healthy
Potato,winter,20.37,63.17,0.0,44.18,6.41,36634,Healthy
Potato,winter,24.89,57.84,0.0,60.63,5.85,35261,Healthy
Potato,winter,25.04,67.62,0.0,55.03,5.89,41701,Healthy
Tomato,winter,17.44,61.5,0.0,45.54,6.3,23884,Healthy
Tomato,winter,22.03,51.58,0.0,66.09,6.5,20,Healthy
Tomato,winter,18.35,61.99,0.0,51.76,5.89,50,Healthy
Tomato,winter,19.72,51.83,0.0,55.71,6.45,38413,Healthy
Tomato,winter,20.55,52.46,0.0,56.03,6.01,31433,Verticillium Wilt
Potato,winter,20.06,61.59,0.0,62.87,6.08,6,Healthy
Tomato,winter,17.13,58.08,0.0,76.58,5.5,66,Healthy
Tomato,winter,19.36,57.34,0.0,52.59,6.44,11,Healthy
Potato,winter,20.0,73.41,0.0,53.37,6.19,32571,Healthy
Tomato,winter,25.22,60.14,0.0,49.48,5.87,22845,Healthy
Potato,winter,21.07,51.35,0.0,64.01,5.65,16,Healthy
Tomato,summer,35.57,71.04,0.0,24.7,6.72,27448,Fusarium Wilt
Tomato,summer,31.04,65.38,0.0,28.92,6.41,19563,Fusarium Wilt
Potato,summer,27.59,69.93,0.0,35.91,6.17,0,Healthy
Tomato,summer,30.7,75.73,0.0,42.07,6.27,14524,Healthy
Tomato,summer,31.52,76.07,0.0,35.62,5.93,34,Healthy
Potato,summer,31.97,68.54,0.0,26.8,5.5,97,Verticillium Wilt
Tomato,summer,34.94,68.4,0.0,30.27,6.5,47,Fusarium Wilt
Tomato,summer,31.04,63.9,0.0,37.51,6.71,15295,Healthy
Tomato,summer,30.68,67.58,0.0,52.43,5.93,71,Healthy
Tomato,summer,34.73,73.16,0.0,42.76,7.39,16,Healthy
Potato,summer,32.53,59.58,3.61,53.04,5.68,33232,Healthy
Potato,summer,30.96,67.22,13.18,38.24,6.63,2734,Healthy
Tomato,summer,30.73,77.04,6.07,48.57,5.9,19545,Anthracnose
Tomato,summer,33.9,66.5,0.0,35.69,6.36,30568,Healthy
Potato,summer,29.97,71.18,11.75,52.55,6.13,0,Healthy
Tomato,summer,31.99,51.91,1.17,43.78,7.53,36,Healthy
Potato,summer,27.86,68.29,0.0,46.93,5.57,60,Healthy
Tomato,summer,30.07,67.35,0.0,38.19,6.36,21997,Healthy
Potato,summer,34.42,72.66,15.2,39.93,6.4,864,Healthy
Tomato,summer,30.18,62.46,1.24,48.32,6.56,96,Healthy
Potato,summer,35.19,56.79,0.0,24.0,5.92,1,Verticillium Wilt
Potato,summer,33.32,62.26,5.17,45.14,6.16,23199,Healthy
Potato,summer,32.06,69.45,0.0,31.06,6.82,85,Common Scab
Tomato,summer,32.52,71.7,0.0,10.0,7.0,34,Fusarium Wilt
Potato,summer,37.54,65.44,0.0,37.74,5.5,40859,Common Scab
Tomato,summer,33.99,58.79,7.88,53.18,6.59,20,Healthy
Potato,summer,34.51,66.7,0.0,33.04,5.58,24775,Verticillium Wilt
Potato,summer,28.97,68.14,0.0,35.26,5.62,39,Healthy
Tomato,summer,31.25,66.63,0.0,43.13,6.35,79,Healthy
Tomato,summer,34.78,82.81,0.0,44.66,5.99,61,Healthy
Tomato,summer,31.44,68.38,0.0,45.48,6.19,18,Healthy
Potato,summer,32.66,68.38,50.0,82.16,5.63,34,Healthy
Potato,summer,30.36,77.28,0.0,20.16,5.73,73,Verticillium Wilt
Potato,summer,30.03,61.68,0.0,46.4,5.5,7136,Healthy
Tomato,summer,28.29,68.14,0.0,38.43,7.35,9134,Healthy
Tomato,summer,36.27,69.63,0.0,32.04,6.27,5584,Fusarium Wilt
Tomato,summer,34.49,77.63,0.0,45.71,6.34,83,Healthy
Potato,summer,32.76,75.55,0.0,30.24,5.65,39717,Verticillium Wilt
Tomato,summer,32.9,65.3,0.0,22.74,5.69,95,Fusarium Wilt
Potato,summer,33.95,69.68,12.12,40.33,6.14,72,Healthy
Potato,summer,36.26,64.05,0.0,29.64,5.5,31871,Verticillium Wilt
Tomato,summer,32.35,69.92,0.0,16.07,6.01,10,Fusarium Wilt
Potato,summer,31.09,72.11,0.0,31.7,6.08,95,Verticillium Wilt
Potato,summer,31.72,76.74,3.59,22.42,6.0,85,Early Blight
Tomato,summer,30.95,72.84,0.0,53.7,6.2,29482,Healthy
Potato,summer,31.69,68.95,4.07,42.02,5.5,32,Healthy
Potato,summer,30.82,76.55,0.0,56.0,5.87,15,Healthy
Tomato,summer,28.87,68.99,0.0,26.39,7.19,16,Fusarium Wilt
Tomato,summer,30.64,65.08,0.0,55.52,5.61,8006,Healthy
Potato,summer,33.51,71.5,20.23,49.0,5.88,8793,Healthy
Potato,summer,30.95,71.74,22.9,60.87,5.63,92,Healthy
Potato,summer,38.28,71.35,0.5,34.31,5.5,89,Early Blight
Tomato,summer,36.87,62.57,1.43,42.73,6.48,25952,Anthracnose
Potato,summer,34.33,72.08,0.0,53.47,5.81,0,Healthy
Tomato,summer,29.96,65.4,49.51,78.63,6.21,17685,Healthy
Tomato,summer,30.96,72.4,0.04,46.1,5.5,18797,Healthy
Potato,summer,31.96,82.13,8.0,45.27,5.97,96,Healthy
Potato,summer,26.83,71.61,11.4,53.28,6.15,21,Healthy
Tomato,summer,32.81,63.51,0.0,29.53,6.74,22116,Fusarium Wilt
Potato,summer,26.73,72.39,0.0,45.3,5.52,26481,Healthy
Potato,summer,30.73,68.07,0.0,59.11,6.36,30821,Healthy
